date,symbol,open,high,low,close,volume
2019-12-11,SMH,67.295,68.27,67.035,68.24,9614550
2019-12-12,SMH,68.335,70.235,68.265,70.2,12057132
2019-12-13,SMH,70.195,70.965,69.705,69.93,10017418
2019-12-16,SMH,70.79,71.05,70.465,70.5,7100784
2019-12-17,SMH,71,71.045,70.49,70.9,5579496
2019-12-18,SMH,71.1,71.1,70.545,70.655,4843014
2019-12-19,SMH,70.965,71.12,70.575,71.065,4704264
2019-12-20,SMH,71.45,71.985,71.21,71.75,6537454
2019-12-23,SMH,71.565,71.71,70.81,71.04,5452562
2019-12-24,SMH,71.215,71.215,70.715,71.185,2355114
2019-12-26,SMH,71.26,71.49,71.035,71.375,3149748
2019-12-27,SMH,71.635,71.7,70.98,71.13,3688516
2019-12-30,SMH,71.25,71.25,70.125,70.615,5910098
2019-12-31,SMH,70.375,70.84,70.205,70.705,5706602
2020-01-02,SMH,71.895,72.47,71.655,72.34,5200298
2020-01-03,SMH,71.275,71.7153,70.94,71.155,9963630
2020-01-06,SMH,70.255,70.565,69.885,70.395,6514862
2020-01-07,SMH,71.12,71.825,70.7,71.57,6547824
2020-01-08,SMH,71.565,72.055,71.26,71.69,6113614
2020-01-09,SMH,72.605,72.605,71.42,72.1,6405040
2020-01-10,SMH,72.51,72.51,71.37,71.5,4503876
2020-01-13,SMH,72.1,72.5275,71.84,72.5,7212806
2020-01-14,SMH,72.59,73.135,72.21,72.65,6054004
2020-01-15,SMH,72.355,72.46,71.37,71.575,7380484
2020-01-16,SMH,72.24,72.73,72.155,72.73,6238632
2020-01-17,SMH,73.045,73.05,72.51,73.03,5896456
2020-01-21,SMH,72.74,73.415,72.675,73.09,6054580
2020-01-22,SMH,73.62,74.305,73.48,73.695,7073678
2020-01-23,SMH,73.9,74.15,73.2867,74.15,8739926
2020-01-24,SMH,75.155,75.37,73.275,73.825,9999234
2020-01-27,SMH,71.43,71.75,70.6251,70.85,13582646
2020-01-28,SMH,71.625,72.79,71.205,72.625,7419468
2020-01-29,SMH,72.33,72.57,71.405,71.52,5877814
2020-01-30,SMH,70.795,71.47,69.985,71.355,10334250
2020-01-31,SMH,70.72,70.7825,68.48,68.785,12204780
2020-02-03,SMH,69.085,69.8175,68.995,69.725,7687356
2020-02-04,SMH,71.6,72.035,71.235,71.97,10815558
2020-02-05,SMH,73.25,73.555,72.43,73.4,10792958
2020-02-06,SMH,73.5,73.52,72.595,73.45,5421890
2020-02-07,SMH,72.725,72.7849,71.73,71.77,10472384
2020-02-10,SMH,71.29,72.915,71.25,72.9,8198426
2020-02-11,SMH,73.56,74.7475,73.56,74.44,10834218
2020-02-12,SMH,74.995,75.58,74.995,75.49,7438322
2020-02-13,SMH,74.975,76.165,74.87,75.67,7965630
2020-02-14,SMH,76,76.31,74.895,75.345,7469736
2020-02-18,SMH,73.835,74.33,73.555,74.215,11819286
2020-02-19,SMH,75.37,76.26,75.25,76.125,8133942
2020-02-20,SMH,75.8,75.9,73.77,74.925,7755982
2020-02-21,SMH,74.43,74.475,72.48,72.725,14165040
2020-02-24,SMH,69.385,70.365,68.77,69.43,19728176
2020-02-25,SMH,70.25,70.47,67.105,67.43,25658582
2020-02-26,SMH,68.01,69.125,67.295,67.835,19093738
2020-02-27,SMH,66,67.025,64.55,64.71,25962430
2020-02-28,SMH,62.3,66.34,62.155,65.985,19299140
2020-03-02,SMH,66.84,68.28,65.005,68.27,14083044
2020-03-03,SMH,68.525,69.455,65.555,66.03,14800954
2020-03-04,SMH,67.34,69.415,66.6231,69.415,10803060
2020-03-05,SMH,67.505,68.89,66.645,67.235,11345974
2020-03-06,SMH,65.255,66.365,64.325,65.94,14819274
2020-03-09,SMH,60.33,63.5,60.24,60.455,14174330
2020-03-10,SMH,62.765,64.18,60.615,64.18,12554730
2020-03-11,SMH,62.065,63.5,60.095,60.715,14562868
2020-03-12,SMH,56.47,58.815,54.295,54.305,13776036
2020-03-13,SMH,57.66,60.08,54.55,59.57,11600028
2020-03-16,SMH,52.6,56.22,50.64,50.985,13095850
2020-03-17,SMH,51.885,55.71,50.25,55.115,19195714
2020-03-18,SMH,51,53.185,48,50.535,14520406
2020-03-19,SMH,50.145,53.075,48.52,51.43,10292634
2020-03-20,SMH,53.575,54.61,50.4,50.53,13732978
2020-03-23,SMH,51.225,53.15,49.962,52.405,13153686
2020-03-24,SMH,55.75,58.04,55.7,57.815,15628578
2020-03-25,SMH,58.37,60.195,56.355,57.38,9801666
2020-03-26,SMH,58.4,61,58.1,60.86,9212772
2020-03-27,SMH,58.765,59.535,57.475,57.495,12571404
2020-03-30,SMH,58.56,59.955,57.92,59.75,9145510
2020-03-31,SMH,59.87,60.67,58.18,58.57,10226512
2020-04-01,SMH,56.72,58.095,55.09,55.665,12936274
2020-04-02,SMH,55.17,57.35,55.12,57.165,9846112
2020-04-03,SMH,57,57.73,55.405,56.02,7177598
2020-04-06,SMH,58.615,61.905,58.61,61.59,17370950
2020-04-07,SMH,63.85,63.94,61.4,61.4,11802856
2020-04-08,SMH,62.495,63.745,61.69,63.435,9511570
2020-04-09,SMH,64.095,64.82,61.445,61.935,20815010
2020-04-13,SMH,61.665,62.845,61.375,62.745,10961670
2020-04-14,SMH,64.31,65.55,64.09,65.49,15346446
2020-04-15,SMH,64.025,64.065,62.995,63.725,12026728
2020-04-16,SMH,64.825,65.715,64.2,65.415,9309966
2020-04-17,SMH,66.68,66.9746,65.43,66.055,10195166
2020-04-20,SMH,65.005,66.06,64.635,64.655,6241222
2020-04-21,SMH,63.555,63.91,61.39,61.76,12767292
2020-04-22,SMH,63.575,65.62,63.525,65.25,12030526
2020-04-23,SMH,65.23,65.96,64.5,64.65,8544478
2020-04-24,SMH,64.645,66.115,64.159,65.955,7987978
2020-04-27,SMH,66.61,67.335,66.255,66.77,8903624
2020-04-28,SMH,67.895,68.23,66.25,66.325,9113566
2020-04-29,SMH,67.52,69.68,67.265,69.44,9770988
2020-04-30,SMH,69.05,69.05,66.75,66.865,13736398
2020-05-01,SMH,65.43,65.55,63.465,63.715,12031126
2020-05-04,SMH,63.45,64.5,63.055,64.42,7615792
2020-05-05,SMH,65.335,66.415,64.89,65.26,9668896
2020-05-06,SMH,66.055,67.0182,65.87,66.025,6652898
2020-05-07,SMH,67.25,67.4583,66.3566,66.625,6246778
