date,symbol,open,high,low,close,volume
2010-03-11,SOXL,0.6425,0.6605,0.6425,0.6605,61700.0
2010-03-12,SOXL,0.661,0.6653,0.6442,0.6442,75800.0
2010-03-15,SOXL,0.6312,0.6379,0.6142,0.6238,8900.0
2010-03-16,SOXL,0.6317,0.6752,0.6307,0.6745,21000.0
2010-03-17,SOXL,0.7,0.707,0.6862,0.6988,43500.0
2010-03-18,SOXL,0.6988,0.7008,0.6722,0.6818,26400.0
2010-03-19,SOXL,0.6733,0.6736,0.6397,0.6508,26600.0
2010-03-22,SOXL,0.638,0.7003,0.6343,0.6978,63400.0
2010-03-23,SOXL,0.7077,0.7455,0.7073,0.7428,101900.0
2010-03-24,SOXL,0.7357,0.7357,0.698,0.7017,33900.0
2010-03-25,SOXL,0.732,0.7425,0.6975,0.6982,33900.0
2010-03-26,SOXL,0.7168,0.7205,0.6735,0.6872,38700.0
2010-03-29,SOXL,0.7093,0.7137,0.7007,0.7057,23000.0
2010-03-30,SOXL,0.7167,0.7267,0.6982,0.7192,32000.0
2010-03-31,SOXL,0.7247,0.73,0.7042,0.708,18000.0
2010-04-01,SOXL,0.7278,0.7572,0.6985,0.7103,27400.0
2010-04-05,SOXL,0.7373,0.7733,0.6902,0.7705,25000.0
2010-04-06,SOXL,0.7558,0.7697,0.7472,0.7588,33300.0
2010-04-07,SOXL,0.7628,0.7822,0.7418,0.7663,56900.0
2010-04-08,SOXL,0.7525,0.7525,0.7147,0.7392,74500.0
2010-04-09,SOXL,0.7477,0.7592,0.7307,0.7588,20900.0
2010-04-12,SOXL,0.7703,0.7975,0.7612,0.7778,40000.0
2010-04-13,SOXL,0.7822,0.7967,0.7722,0.7928,48400.0
2010-04-14,SOXL,0.842,0.8977,0.842,0.8948,108400.0
2010-04-15,SOXL,0.9108,0.9232,0.8924,0.9025,211100.0
2010-04-16,SOXL,0.8917,0.8917,0.8285,0.8692,74200.0
2010-04-19,SOXL,0.84,0.8655,0.7918,0.8398,95200.0
2010-04-20,SOXL,0.8643,0.8867,0.8583,0.8805,48700.0
2010-04-21,SOXL,0.8867,0.9062,0.814,0.853,96200.0
2010-04-22,SOXL,0.8363,0.904,0.7973,0.9012,109900.0
2010-04-23,SOXL,0.916,0.916,0.8687,0.9052,60000.0
2010-04-26,SOXL,0.9133,0.938,0.9068,0.9132,64100.0
2010-04-27,SOXL,0.875,0.9065,0.816,0.8187,85200.0
2010-04-28,SOXL,0.8353,0.8792,0.7935,0.835,114400.0
2010-04-29,SOXL,0.8353,0.8667,0.8255,0.8637,97300.0
2010-04-30,SOXL,0.8417,0.8417,0.7453,0.7472,168400.0
2010-05-03,SOXL,0.7577,0.8139,0.7577,0.8022,82100.0
2010-05-04,SOXL,0.7855,0.7855,0.6613,0.696,319400.0
2010-05-05,SOXL,0.685,0.7058,0.6415,0.6737,132000.0
2010-05-06,SOXL,0.6667,0.6957,0.4167,0.6163,290800.0
2010-05-07,SOXL,0.6,0.6181,0.5143,0.5788,206200.0
2010-05-10,SOXL,0.68,0.6827,0.6469,0.68,120100.0
2010-05-11,SOXL,0.6437,0.7025,0.6355,0.667,462000.0
2010-05-12,SOXL,0.678,0.7247,0.678,0.7212,705500.0
2010-05-13,SOXL,0.7018,0.7308,0.6555,0.6647,483200.0
2010-05-14,SOXL,0.649,0.649,0.5677,0.604,264100.0
2010-05-17,SOXL,0.5912,0.6348,0.5701,0.629,319000.0
2010-05-18,SOXL,0.6445,0.6553,0.5691,0.5777,268800.0
2010-05-19,SOXL,0.5748,0.6042,0.5467,0.5868,355100.0
2010-05-20,SOXL,0.5417,0.5762,0.5043,0.539,177300.0
2010-05-21,SOXL,0.5167,0.599,0.5038,0.5742,187000.0
2010-05-24,SOXL,0.5628,0.5848,0.5403,0.5403,182400.0
2010-05-25,SOXL,0.4943,0.5527,0.475,0.5525,180300.0
2010-05-26,SOXL,0.5803,0.6037,0.5464,0.5497,237500.0
2010-05-27,SOXL,0.5923,0.6342,0.584,0.6333,176300.0
2010-05-28,SOXL,0.6407,0.6407,0.5772,0.6028,154800.0
2010-06-01,SOXL,0.599,0.6212,0.5618,0.5618,75500.0
2010-06-02,SOXL,0.5818,0.6226,0.5642,0.6218,184900.0
2010-06-03,SOXL,0.633,0.653,0.615,0.6457,151700.0
2010-06-04,SOXL,0.629,0.6305,0.5524,0.5617,227500.0
2010-06-07,SOXL,0.5698,0.578,0.495,0.499,305200.0
2010-06-08,SOXL,0.5018,0.5042,0.4569,0.4935,208400.0
2010-06-09,SOXL,0.507,0.5385,0.4775,0.4837,143900.0
2010-06-10,SOXL,0.5093,0.5387,0.5015,0.5368,158400.0
2010-06-11,SOXL,0.518,0.5622,0.5133,0.5598,108500.0
2010-06-14,SOXL,0.5868,0.6025,0.5692,0.5704,115400.0
2010-06-15,SOXL,0.5833,0.6697,0.5833,0.6654,241800.0
2010-06-16,SOXL,0.6513,0.6896,0.634,0.6747,237100.0
2010-06-17,SOXL,0.688,0.6895,0.6362,0.6703,145400.0
2010-06-18,SOXL,0.6735,0.6825,0.6567,0.6658,77600.0
2010-06-21,SOXL,0.6957,0.7132,0.636,0.6482,150900.0
2010-06-22,SOXL,0.6513,0.677,0.6083,0.614,164800.0
2010-06-23,SOXL,0.62,0.6425,0.5865,0.6193,134600.0
2010-06-24,SOXL,0.6085,0.6107,0.5578,0.5653,195900.0
2010-06-25,SOXL,0.5718,0.5735,0.5367,0.5672,145300.0
2010-06-28,SOXL,0.5615,0.5923,0.5528,0.5738,70800.0
2010-06-29,SOXL,0.5447,0.5447,0.4858,0.4956,399500.0
2010-06-30,SOXL,0.4985,0.5147,0.4677,0.4717,180700.0
2010-07-01,SOXL,0.475,0.4863,0.4345,0.4735,178600.0
2010-07-02,SOXL,0.4745,0.4816,0.4443,0.4677,117200.0
2010-07-06,SOXL,0.4957,0.505,0.4548,0.4668,401000.0
2010-07-07,SOXL,0.467,0.541,0.467,0.5402,227500.0
2010-07-08,SOXL,0.5602,0.5602,0.5107,0.5362,245100.0
2010-07-09,SOXL,0.5385,0.5563,0.5272,0.5547,125200.0
2010-07-12,SOXL,0.5573,0.5822,0.551,0.5758,145300.0
2010-07-13,SOXL,0.5967,0.6186,0.5863,0.6128,194800.0
2010-07-14,SOXL,0.64,0.6467,0.5953,0.6072,281700.0
2010-07-15,SOXL,0.599,0.6057,0.568,0.5993,186100.0
2010-07-16,SOXL,0.5883,0.5923,0.5413,0.5423,131300.0
2010-07-19,SOXL,0.5595,0.5855,0.5472,0.5833,131800.0
2010-07-20,SOXL,0.5395,0.5852,0.5197,0.585,235700.0
2010-07-21,SOXL,0.5962,0.5962,0.5457,0.5495,181500.0
2010-07-22,SOXL,0.5583,0.6117,0.5583,0.5998,171800.0
2010-07-23,SOXL,0.595,0.6154,0.5798,0.6113,118200.0
2010-07-26,SOXL,0.6117,0.6368,0.5932,0.6333,143700.0
2010-07-27,SOXL,0.6472,0.6472,0.6123,0.6203,174500.0
2010-07-28,SOXL,0.6125,0.6265,0.5783,0.5882,285100.0
2010-07-29,SOXL,0.5948,0.596,0.5302,0.5525,411100.0
2010-07-30,SOXL,0.5397,0.5457,0.5077,0.5352,231800.0
2010-08-02,SOXL,0.5622,0.5717,0.5421,0.5635,330200.0
2010-08-03,SOXL,0.5637,0.5648,0.5323,0.5465,195700.0
2010-08-04,SOXL,0.5483,0.5642,0.5323,0.5625,141800.0
2010-08-05,SOXL,0.5593,0.567,0.5433,0.549,120400.0
2010-08-06,SOXL,0.5388,0.561,0.5292,0.5497,131900.0
2010-08-09,SOXL,0.5537,0.5667,0.54,0.5587,126400.0
2010-08-10,SOXL,0.5417,0.5417,0.5008,0.5158,312200.0
2010-08-11,SOXL,0.4827,0.4832,0.4407,0.4537,512000.0
2010-08-12,SOXL,0.4215,0.4415,0.4067,0.4355,462800.0
2010-08-13,SOXL,0.4377,0.4495,0.4215,0.4223,164800.0
2010-08-16,SOXL,0.4183,0.4398,0.4083,0.4267,258800.0
2010-08-17,SOXL,0.4432,0.458,0.4335,0.443,240500.0
2010-08-18,SOXL,0.447,0.4645,0.4382,0.4578,170300.0
2010-08-19,SOXL,0.4525,0.4593,0.4288,0.4348,186600.0
2010-08-20,SOXL,0.4388,0.4528,0.4307,0.4398,144700.0
2010-08-23,SOXL,0.4523,0.4543,0.4238,0.4243,256500.0
2010-08-24,SOXL,0.4073,0.4167,0.3932,0.4028,233300.0
2010-08-25,SOXL,0.3972,0.4202,0.3825,0.415,326300.0
2010-08-26,SOXL,0.4223,0.4247,0.387,0.3913,263600.0
2010-08-27,SOXL,0.4032,0.4192,0.3713,0.4147,380400.0
2010-08-30,SOXL,0.4087,0.4142,0.384,0.3847,197900.0
2010-08-31,SOXL,0.3817,0.3895,0.3548,0.3602,284100.0
2010-09-01,SOXL,0.3748,0.4055,0.3748,0.3937,354900.0
2010-09-02,SOXL,0.4003,0.4198,0.3923,0.4198,538500.0
2010-09-03,SOXL,0.4363,0.4475,0.4167,0.438,666200.0
2010-09-07,SOXL,0.4342,0.4375,0.41,0.4143,409000.0
2010-09-08,SOXL,0.4162,0.4188,0.3958,0.4075,919600.0
2010-09-09,SOXL,0.4228,0.4238,0.4043,0.4092,275600.0
2010-09-10,SOXL,0.4055,0.4107,0.3757,0.3932,842800.0
2010-09-13,SOXL,0.405,0.4332,0.4045,0.4322,569400.0
2010-09-14,SOXL,0.4283,0.4617,0.4163,0.4533,499000.0
2010-09-15,SOXL,0.444,0.4508,0.4315,0.4498,340000.0
2010-09-16,SOXL,0.4408,0.461,0.438,0.4593,266300.0
2010-09-17,SOXL,0.466,0.468,0.4525,0.4597,240300.0
2010-09-20,SOXL,0.4598,0.4679,0.4458,0.4652,653200.0
2010-09-21,SOXL,0.4635,0.4742,0.4577,0.462,310500.0
2010-09-22,SOXL,0.456,0.4605,0.4325,0.4428,422000.0
2010-09-23,SOXL,0.4305,0.4743,0.4222,0.4513,352500.0
2010-09-24,SOXL,0.4717,0.5077,0.4717,0.505,421100.0
2010-09-27,SOXL,0.5088,0.5102,0.4905,0.4964,341000.0
2010-09-28,SOXL,0.5023,0.5223,0.4818,0.5195,424000.0
2010-09-29,SOXL,0.51,0.5427,0.51,0.531,528200.0
2010-09-30,SOXL,0.5393,0.55,0.5048,0.5195,606600.0
2010-10-01,SOXL,0.5322,0.5355,0.5022,0.514,404300.0
2010-10-04,SOXL,0.511,0.5113,0.4758,0.493,422200.0
2010-10-05,SOXL,0.5033,0.5285,0.5033,0.5238,403700.0
2010-10-06,SOXL,0.5233,0.5242,0.4875,0.5058,369900.0
2010-10-07,SOXL,0.5047,0.5132,0.4883,0.506,347300.0
2010-10-08,SOXL,0.5025,0.5248,0.4858,0.5225,489100.0
2010-10-11,SOXL,0.5225,0.5473,0.5225,0.532,339500.0
2010-10-12,SOXL,0.5253,0.55,0.516,0.5433,305500.0
2010-10-13,SOXL,0.5485,0.5542,0.5307,0.5458,456400.0
2010-10-14,SOXL,0.5468,0.5568,0.5318,0.5413,322300.0
2010-10-15,SOXL,0.5527,0.5583,0.5288,0.5537,372900.0
2010-10-18,SOXL,0.5508,0.5508,0.5273,0.5408,354700.0
2010-10-19,SOXL,0.5238,0.5463,0.5012,0.5182,630700.0
2010-10-20,SOXL,0.5187,0.5348,0.5083,0.5268,406300.0
2010-10-21,SOXL,0.5295,0.5322,0.5043,0.519,367700.0
2010-10-22,SOXL,0.519,0.5523,0.519,0.5498,497200.0
2010-10-25,SOXL,0.5583,0.5773,0.5583,0.5678,206900.0
2010-10-26,SOXL,0.5598,0.5692,0.5418,0.5607,182700.0
2010-10-27,SOXL,0.5627,0.613,0.5625,0.6122,327200.0
2010-10-28,SOXL,0.6138,0.6175,0.591,0.6137,232200.0
2010-10-29,SOXL,0.6087,0.63,0.6077,0.6252,180300.0
2010-11-01,SOXL,0.6297,0.6378,0.604,0.6188,325900.0
2010-11-02,SOXL,0.6302,0.6403,0.6217,0.6308,191200.0
2010-11-03,SOXL,0.6372,0.6517,0.622,0.6517,306100.0
2010-11-04,SOXL,0.6695,0.7138,0.6695,0.7115,311400.0
2010-11-05,SOXL,0.7187,0.7367,0.7093,0.7263,302700.0
2010-11-08,SOXL,0.7223,0.7415,0.7143,0.7273,290600.0
2010-11-09,SOXL,0.7273,0.7295,0.692,0.6997,245800.0
2010-11-10,SOXL,0.699,0.7023,0.673,0.7005,236200.0
2010-11-11,SOXL,0.647,0.6833,0.6215,0.676,409500.0
2010-11-12,SOXL,0.6708,0.7073,0.6547,0.6743,269200.0
2010-11-15,SOXL,0.6893,0.6948,0.6593,0.6593,237000.0
2010-11-16,SOXL,0.6432,0.664,0.6213,0.6313,271900.0
2010-11-17,SOXL,0.629,0.6515,0.6218,0.6295,129800.0
2010-11-18,SOXL,0.6487,0.6728,0.6487,0.6647,175300.0
2010-11-19,SOXL,0.6603,0.702,0.6603,0.697,160900.0
2010-11-22,SOXL,0.699,0.7243,0.6928,0.7228,534400.0
2010-11-23,SOXL,0.7002,0.719,0.6957,0.7035,367900.0
2010-11-24,SOXL,0.7188,0.7639,0.7188,0.7598,403500.0
2010-11-26,SOXL,0.7485,0.7583,0.7383,0.7472,106300.0
2010-11-29,SOXL,0.7347,0.7462,0.7138,0.742,205900.0
2010-11-30,SOXL,0.7193,0.7258,0.7073,0.7145,244300.0
2010-12-01,SOXL,0.7498,0.7853,0.7498,0.783,271200.0
2010-12-02,SOXL,0.7875,0.8284,0.7848,0.8271,226000.0
2010-12-03,SOXL,0.8148,0.8432,0.8083,0.839,180400.0
2010-12-06,SOXL,0.8418,0.8418,0.8134,0.8347,196800.0
2010-12-07,SOXL,0.861,0.8712,0.832,0.833,372400.0
2010-12-08,SOXL,0.842,0.8587,0.8267,0.8558,140100.0
2010-12-09,SOXL,0.8707,0.8763,0.8538,0.862,119500.0
2010-12-10,SOXL,0.8652,0.8728,0.8528,0.8643,122900.0
2010-12-13,SOXL,0.8818,0.8818,0.8417,0.8482,149900.0
2010-12-14,SOXL,0.848,0.852,0.8183,0.8265,183900.0
2010-12-15,SOXL,0.8202,0.8342,0.7967,0.8008,232900.0
2010-12-16,SOXL,0.8077,0.8218,0.7922,0.815,98500.0
2010-12-17,SOXL,0.819,0.8366,0.8163,0.8317,87500.0
2010-12-20,SOXL,0.828,0.8373,0.8115,0.8222,400300.0
2010-12-21,SOXL,0.8327,0.8477,0.8285,0.8395,130400.0
2010-12-22,SOXL,0.8267,0.8417,0.813,0.8403,174500.0
2010-12-23,SOXL,0.8258,0.8407,0.8258,0.8333,69300.0
2010-12-27,SOXL,0.8178,0.8403,0.8025,0.8358,122700.0
2010-12-28,SOXL,0.8333,0.8415,0.8153,0.8252,103100.0
2010-12-29,SOXL,0.8285,0.8325,0.8178,0.8285,56000.0
2010-12-30,SOXL,0.8285,0.8395,0.8242,0.8358,62200.0
2010-12-31,SOXL,0.8293,0.8377,0.82,0.8332,100400.0
2011-01-03,SOXL,0.8495,0.8792,0.842,0.8518,194100.0
2011-01-04,SOXL,0.8597,0.8722,0.828,0.8547,168300.0
2011-01-05,SOXL,0.8425,0.8695,0.8342,0.863,74700.0
2011-01-06,SOXL,0.8705,0.913,0.8705,0.9108,163500.0
2011-01-07,SOXL,0.9167,0.9293,0.8748,0.9168,365600.0
2011-01-10,SOXL,0.9117,0.9508,0.9,0.9456,166000.0
2011-01-11,SOXL,0.9617,0.9617,0.9353,0.9562,165700.0
2011-01-12,SOXL,0.9748,1.01,0.9572,1.0098,161600.0
2011-01-13,SOXL,1.0108,1.0258,0.9898,1.0095,140800.0
2011-01-14,SOXL,1.024,1.092,1.02,1.092,300700.0
2011-01-18,SOXL,1.08,1.092,1.0627,1.0792,230700.0
2011-01-19,SOXL,1.0525,1.0573,0.9967,1.004,245900.0
2011-01-20,SOXL,0.9845,0.9845,0.9305,0.9675,312000.0
2011-01-21,SOXL,1.0,1.0025,0.9475,0.9508,209600.0
2011-01-24,SOXL,0.9613,1.0217,0.96,1.0195,216500.0
2011-01-25,SOXL,1.0063,1.0178,0.9743,0.9981,217100.0
2011-01-26,SOXL,1.0183,1.0315,0.9898,1.0258,273200.0
2011-01-27,SOXL,1.0465,1.0883,1.0465,1.0825,330900.0
2011-01-28,SOXL,1.104,1.104,0.9702,0.9948,602800.0
2011-01-31,SOXL,1.0033,1.0205,0.9667,1.0062,203900.0
