date,symbol,open,high,low,close,volume
2010-02-11,TQQQ,0.20345,0.21745,0.2028,0.2163,36000.0
2010-02-12,TQQQ,0.2104,0.21905,0.20915,0.21715,89600.0
2010-02-16,TQQQ,0.22225,0.2261,0.2188,0.22555,100200.0
2010-02-17,TQQQ,0.2286,0.22945,0.22515,0.2294,199800.0
2010-02-18,TQQQ,0.22915,0.23515,0.2278,0.23375,404800.0
2010-02-19,TQQQ,0.23215,0.2368,0.2304,0.23375,484200.0
2010-02-22,TQQQ,0.2365,0.2365,0.2295,0.2321,265600.0
2010-02-23,TQQQ,0.23085,0.2321,0.21995,0.22305,428400.0
2010-02-24,TQQQ,0.227,0.2324,0.22575,0.2298,367800.0
2010-02-25,TQQQ,0.22245,0.23125,0.218,0.22965,475200.0
2010-02-26,TQQQ,0.229,0.2335,0.2267,0.23255,300000.0
2010-03-01,TQQQ,0.23545,0.2435,0.23545,0.2425,148200.0
2010-03-02,TQQQ,0.24465,0.2492,0.2433,0.24395,252200.0
2010-03-03,TQQQ,0.2467,0.24885,0.24295,0.2453,249800.0
2010-03-04,TQQQ,0.24615,0.24835,0.24235,0.248,153400.0
2010-03-05,TQQQ,0.2533,0.26015,0.25195,0.259,140000.0
2010-03-08,TQQQ,0.2592,0.26225,0.2592,0.26035,132000.0
2010-03-09,TQQQ,0.25895,0.26905,0.2587,0.26495,241800.0
2010-03-10,TQQQ,0.26535,0.27305,0.26515,0.27145,208800.0
2010-03-11,TQQQ,0.2698,0.27435,0.268,0.27395,280800.0
2010-03-12,TQQQ,0.277,0.277,0.27145,0.2746,188200.0
2010-03-15,TQQQ,0.27275,0.2746,0.26695,0.27275,220800.0
2010-03-16,TQQQ,0.2754,0.27865,0.27255,0.2779,242600.0
2010-03-17,TQQQ,0.27865,0.2838,0.2775,0.2798,207400.0
2010-03-18,TQQQ,0.2808,0.28355,0.27895,0.28265,271800.0
2010-03-19,TQQQ,0.28575,0.28575,0.2747,0.27765,208600.0
2010-03-22,TQQQ,0.2744,0.2885,0.27335,0.28515,306200.0
2010-03-23,TQQQ,0.2871,0.29175,0.28265,0.2911,288200.0
2010-03-24,TQQQ,0.28905,0.2897,0.28515,0.287,464800.0
2010-03-25,TQQQ,0.294,0.29705,0.28495,0.2852,489200.0
2010-03-26,TQQQ,0.28925,0.29215,0.28215,0.28665,439000.0
2010-03-29,TQQQ,0.291,0.29355,0.28845,0.2906,198200.0
2010-03-30,TQQQ,0.293,0.29615,0.2877,0.29365,207800.0
2010-03-31,TQQQ,0.29035,0.29425,0.2877,0.2897,310200.0
2010-04-01,TQQQ,0.2929,0.2985,0.28265,0.2891,607400.0
2010-04-05,TQQQ,0.2912,0.2992,0.28905,0.29745,352000.0
2010-04-06,TQQQ,0.2952,0.30245,0.29335,0.29975,305800.0
2010-04-07,TQQQ,0.2987,0.302,0.29285,0.29805,553400.0
2010-04-08,TQQQ,0.29505,0.30085,0.2905,0.2991,362800.0
2010-04-09,TQQQ,0.3001,0.30525,0.2978,0.3045,302600.0
2010-04-12,TQQQ,0.30555,0.30805,0.30355,0.30575,254200.0
2010-04-13,TQQQ,0.30475,0.31085,0.302,0.31035,350200.0
2010-04-14,TQQQ,0.31475,0.32155,0.3141,0.3213,318200.0
2010-04-15,TQQQ,0.32095,0.32675,0.32065,0.32555,238400.0
2010-04-16,TQQQ,0.32215,0.3253,0.30795,0.314,674400.0
2010-04-19,TQQQ,0.31105,0.31635,0.3021,0.3135,587200.0
2010-04-20,TQQQ,0.31835,0.3203,0.3124,0.3181,292200.0
2010-04-21,TQQQ,0.3246,0.3265,0.3177,0.3237,437400.0
2010-04-22,TQQQ,0.31425,0.3296,0.3089,0.3285,639800.0
2010-04-23,TQQQ,0.32885,0.3339,0.32495,0.33285,429000.0
2010-04-26,TQQQ,0.3331,0.3356,0.3288,0.3304,419400.0
2010-04-27,TQQQ,0.3272,0.3307,0.3073,0.31,696600.0
2010-04-28,TQQQ,0.31475,0.3151,0.3032,0.31075,651400.0
2010-04-29,TQQQ,0.31505,0.32815,0.31505,0.3266,441400.0
2010-04-30,TQQQ,0.3261,0.32765,0.30655,0.30735,461000.0
2010-05-03,TQQQ,0.31095,0.32455,0.31085,0.3199,274000.0
2010-05-04,TQQQ,0.3078,0.3078,0.28465,0.2916,714800.0
2010-05-05,TQQQ,0.28245,0.29195,0.2771,0.2868,721400.0
2010-05-06,TQQQ,0.2809,0.289,0.1771,0.2587,1134400.0
2010-05-07,TQQQ,0.25185,0.2613,0.2232,0.2399,1293000.0
2010-05-10,TQQQ,0.2702,0.2765,0.2687,0.2757,985800.0
2010-05-11,TQQQ,0.2679,0.28645,0.26635,0.2755,765800.0
2010-05-12,TQQQ,0.27925,0.29095,0.27825,0.29035,565400.0
2010-05-13,TQQQ,0.28755,0.2936,0.27545,0.2772,549800.0
2010-05-14,TQQQ,0.2704,0.2708,0.2513,0.26015,803000.0
2010-05-17,TQQQ,0.2627,0.2666,0.24685,0.26365,712800.0
2010-05-18,TQQQ,0.2701,0.2716,0.24895,0.2536,992800.0
2010-05-19,TQQQ,0.2492,0.2552,0.2381,0.2469,1238400.0
2010-05-20,TQQQ,0.23195,0.2336,0.2173,0.22195,1421800.0
2010-05-21,TQQQ,0.2084,0.23055,0.2062,0.22365,1220400.0
2010-05-24,TQQQ,0.22485,0.2332,0.2229,0.2255,807400.0
2010-05-25,TQQQ,0.20875,0.2246,0.2021,0.2239,899200.0
2010-05-26,TQQQ,0.22735,0.2367,0.2153,0.217,1085000.0
2010-05-27,TQQQ,0.23145,0.24105,0.22955,0.24045,902200.0
2010-05-28,TQQQ,0.24205,0.24275,0.23045,0.2371,868200.0
2010-06-01,TQQQ,0.2346,0.2467,0.22915,0.23055,1055800.0
2010-06-02,TQQQ,0.23435,0.24675,0.22935,0.24675,590800.0
2010-06-03,TQQQ,0.2486,0.2546,0.2439,0.2532,598200.0
2010-06-04,TQQQ,0.2373,0.24675,0.22485,0.2282,1281000.0
2010-06-07,TQQQ,0.2304,0.2329,0.2146,0.21495,878800.0
2010-06-08,TQQQ,0.2165,0.2179,0.20525,0.21375,1385000.0
2010-06-09,TQQQ,0.21805,0.2242,0.20665,0.20905,1195000.0
2010-06-10,TQQQ,0.21635,0.2268,0.21455,0.2264,810000.0
2010-06-11,TQQQ,0.21935,0.2332,0.21935,0.2323,652800.0
2010-06-14,TQQQ,0.2392,0.2438,0.2315,0.2324,1184400.0
2010-06-15,TQQQ,0.2363,0.2521,0.23555,0.2494,1042200.0
2010-06-16,TQQQ,0.2492,0.2578,0.24795,0.25445,824800.0
2010-06-17,TQQQ,0.2584,0.2588,0.25035,0.257,849200.0
