date,signal_date,symbol,signal_symbol,regime,weather_state,regime_age,strong_green_age,score,signal_return_3m,signal_return_6m,signal_rs,signal_distance_50,signal_sma50_rising_10d,sessions_since_stress,trade_dollar_volume_multiple,reasons
2010-12-28,2010-12-27,TQQQ,QQQ,green,green,1,0,0.1185892908,0.1111273151,0.2193996119,0.0263658525,0.0338450825,True,,1.1924,
2010-12-29,2010-12-28,TQQQ,QQQ,green,green,2,0,0.1273228726,0.109547755,0.2660054144,0.0271911546,0.0306804076,True,,1.1744,
2010-12-30,2010-12-29,TQQQ,QQQ,orange,orange,1,0,0.1299111477,0.1137881586,0.2883914193,0.0309774016,0.0315460609,True,0,0.8462,leveraged_etf_liquidity_below_floor
2010-12-31,2010-12-30,TQQQ,QQQ,orange,orange,2,0,0.1267316629,0.1161278199,0.2889557518,0.0294991667,0.027573882,True,0,0.5313,leveraged_etf_liquidity_below_floor
2011-01-03,2010-12-31,TQQQ,QQQ,orange,orange,3,0,0.130079639,0.1134051564,0.2878682868,0.0262719376,0.0225178485,True,0,0.8919,leveraged_etf_liquidity_below_floor
2011-01-04,2011-01-03,TQQQ,QQQ,green,green,1,0,0.1645631541,0.1431450087,0.3039772324,0.0368558427,0.0368723271,True,1,2.5542,
2011-01-05,2011-01-04,TQQQ,QQQ,green,green,2,0,0.1441964696,0.1151744061,0.2627219126,0.0342392014,0.0346744398,True,2,2.5121,
2011-01-06,2011-01-05,TQQQ,QQQ,green,green,3,0,0.1531016977,0.1344812971,0.266544968,0.0429614522,0.0419310257,True,3,2.4053,
2011-01-07,2011-01-06,TQQQ,QQQ,green,green,4,0,0.1478337102,0.1339988076,0.2586746536,0.0446835877,0.0437378335,True,4,2.0645,
2011-01-10,2011-01-07,TQQQ,QQQ,green,green,5,0,0.1527058512,0.125241798,0.2538967395,0.0446369945,0.0413339795,True,5,3.0033,
2011-01-11,2011-01-10,TQQQ,QQQ,green,green,6,0,0.1414930639,0.129017058,0.242505304,0.0508507706,0.0437369953,True,6,1.7148,
2011-01-12,2011-01-11,TQQQ,QQQ,green,green,7,0,0.1446112081,0.1229561162,0.2379967194,0.04421449,0.0436396458,True,7,2.2008,
2011-01-13,2011-01-12,TQQQ,QQQ,green,green,8,0,0.1510939399,0.1217765521,0.2457206489,0.0433660348,0.0493402384,True,8,2.7388,
2011-01-14,2011-01-13,TQQQ,QQQ,green,green,9,0,0.1567218119,0.1243984374,0.2815729605,0.0438748969,0.0481925659,True,9,2.6931,
2011-01-18,2011-01-14,TQQQ,QQQ,green,green,10,0,0.1368303351,0.1092058439,0.2801147266,0.0334786515,0.0543773859,True,10,1.2829,
2011-01-19,2011-01-18,TQQQ,QQQ,green,green,11,0,0.152977263,0.1164391067,0.2683919069,0.0386229106,0.0559322149,True,11,2.9145,
2011-01-20,2011-01-19,TQQQ,QQQ,green,green,12,0,0.1586727864,0.1141681417,0.2713851941,0.036748887,0.0427895595,True,12,3.0581,
2011-01-21,2011-01-20,TQQQ,QQQ,green,green,13,0,0.1503481395,0.0982860642,0.2312195398,0.029739222,0.0344631665,True,13,3.7771,
2011-01-24,2011-01-21,TQQQ,QQQ,green,green,14,0,0.1278784586,0.0877443764,0.2140915446,0.0196399005,0.0256519956,True,14,2.0421,
2011-01-25,2011-01-24,TQQQ,QQQ,green,green,15,0,0.1373335907,0.0953126795,0.2208095449,0.0297639008,0.0387505215,True,15,1.7534,
2011-01-26,2011-01-25,TQQQ,QQQ,green,green,16,0,0.1291985222,0.0915795222,0.2230653373,0.0274443085,0.0389771862,True,16,1.951,
2011-01-27,2011-01-26,TQQQ,QQQ,green,green,17,0,0.1353826988,0.0944201685,0.2394358189,0.0281005834,0.04279563,True,17,2.0543,
2011-01-28,2011-01-27,TQQQ,QQQ,green,green,18,0,0.1405365038,0.0977845265,0.2563449229,0.0288923815,0.0473064174,True,18,2.3463,
2011-01-31,2011-01-28,TQQQ,QQQ,green,early_thaw,19,0,0.1477753975,0.0676959427,0.2218133482,0.0182460741,0.0191125003,True,19,4.9587,
2011-02-01,2011-01-31,TQQQ,QQQ,green,early_thaw,20,0,0.1326129812,0.0753359914,0.2051086248,0.0184966815,0.0223662659,True,20,3.1625,
2011-02-02,2011-02-01,TQQQ,QQQ,green,green,21,0,0.1569101226,0.0946586719,0.2329879247,0.0209196907,0.0397421803,True,21,4.2451,
2011-02-03,2011-02-02,TQQQ,QQQ,green,green,22,0,0.1277770994,0.0813366885,0.2187176344,0.0186757703,0.0363670637,True,22,1.9136,
2011-02-04,2011-02-03,TQQQ,QQQ,green,early_thaw,23,0,0.137871588,0.0783308837,0.2237247712,0.0190528329,0.0365811511,True,23,2.7434,
2011-02-07,2011-02-04,TQQQ,QQQ,green,early_thaw,24,0,0.1481240258,0.0712458015,0.2324294155,0.0255800026,0.0403485623,True,24,2.8858,
2011-02-08,2011-02-07,TQQQ,QQQ,green,early_thaw,25,0,0.1413856525,0.0762866126,0.2298124089,0.0260576284,0.0434901163,True,25,2.2355,
2011-02-09,2011-02-08,TQQQ,QQQ,green,green,26,0,0.1556667788,0.0819697448,0.248794113,0.0260122925,0.0483325309,True,26,2.947,
